old_path,new_url,source
/wp-content/uploads/2023/09/IMG_9321.jpg,/storage/blog/featured/the-great-pumpkin-walk-of-downtown-bellefontaine-returns-6967b23bc7065.jpg,blog
/wp-content/uploads/2023/11/kylie-frey-jesse-jervis.jpg,/storage/blog/featured/kylie-frey-comes-to-town-6967b24871269.jpg,blog
/wp-content/uploads/2023/11/SBS-2.png,/storage/blog/featured/small-business-saturday-is-coming-6967b24adc2eb.jpg,blog
/wp-content/uploads/2023/11/SBS-2-1.png,/storage/blog/featured/why-small-business-saturday-matters-6967b24df2b7a.jpg,blog
/wp-content/uploads/2023/11/DSC_8688-scaled.jpg,/storage/blog/featured/santa-claus-is-coming-to-downtown-6967b25069432.jpg,blog
/wp-content/uploads/2024/01/darin-and-brooke-aldridge-cover.jpg,/storage/blog/featured/darin-and-brooke-a-musical-journey-of-triple-threat-talents-6967b2539297b.jpg,blog
/wp-content/uploads/2024/02/IMG_9722-scaled.jpg,/storage/blog/featured/a-new-leaf-florist-welcomes-new-ownership-and-exciting-changes-6967b25919b17.jpg,blog
/wp-content/uploads/2024/02/easter3.jpg,/storage/blog/featured/hop-into-fun-easter-egg-stravaganza-2024-6967b25b700a2.jpg,blog
/wp-content/uploads/2024/03/bar-crawl-1.jpg,/storage/blog/featured/downtown-bellefontaines-1st-annual-brews-blarney-crawl-6967b25df41a1.jpg,blog
/wp-content/uploads/2024/03/lunasa-2.jpg,/storage/blog/featured/lunasa-returns-to-downtown-bellefontaine-6967b260aa5ce.jpg,blog
/wp-content/uploads/2024/03/stpattys.png,/storage/blog/featured/st-patricks-day-takes-over-downtown-bellefontaine-6967b2635fd98.jpg,blog
/wp-content/uploads/2024/03/IMG_4750.jpg,/storage/blog/featured/treat-yourself-to-the-irresistible-flavors-of-2gs-barbecue-in-downtown-bellefontaine-6967b265d002e.jpg,blog
/wp-content/uploads/2024/03/burrito-2.jpg,/storage/blog/featured/national-burrito-day-celebrate-with-flavor-at-the-flying-pepper-cantina-6967b2685c44b.jpg,blog
/wp-content/uploads/2024/03/roundhouse-2.jpg,/storage/blog/featured/join-the-solar-eclipse-watch-party-6967b26a5f976.jpg,blog
/wp-content/uploads/2024/03/glow-party-2.jpg,/storage/blog/featured/get-ready-to-glow-at-the-syndicates-silent-disco-6967b26d15ef1.jpg,blog
/wp-content/uploads/2024/03/moon-glow-blog-3-1.jpg,/storage/blog/featured/experience-the-cosmic-spectacle-moon-glow-over-main-street-in-downtown-bellefontaine-6967b26f7be0e.jpg,blog
/wp-content/uploads/2024/06/pineapple2024.png,/storage/blog/featured/pineapple-palooza-the-event-of-the-year-in-downtown-bellefontaine-6967b271db244.jpg,blog
/wp-content/uploads/2024/06/DSC_8838-2-scaled.jpg,/storage/blog/featured/discover-the-wonders-of-ohio-caverns-americas-most-colorful-caverns-6967b27483b06.jpg,blog
/wp-content/uploads/2024/07/POTC1.jpg,/storage/blog/featured/celebrate-independence-day-with-parrots-of-the-caribbeana-salute-to-jimmy-buffett-6967b276dfa9d.jpg,blog
/wp-content/uploads/2024/07/duelingpianos.jpg,/storage/blog/featured/unleash-the-fun-at-the-syndicates-dueling-pianos-summer-show-6967b27a0a379.jpg,blog
/wp-content/uploads/2024/07/chrome-horse-bob-dylan-tribute-2.jpg,/storage/blog/featured/experience-the-magic-of-bob-dylan-at-the-syndicate-a-special-dinner-show-event-6967b27d0588a.jpg,blog
